~WorkID~,~ChapterID~,~Section~,~Chapter~,~Description~
~henry5~,18938,2,1,~London. A street.~
~henry5~,18939,2,2,~Southampton. A council-chamber.~
~henry5~,18940,2,3,~London. Before a tavern.~
~henry5~,18941,2,4,~France. The KING&#8217;S palace.~
~henry5~,18942,3,0,~Prologue.~
~henry5~,18943,3,1,~France. Before Harfleur.~
~henry5~,18944,3,2,~The same.~
~henry5~,18945,3,3,~The same. Before the gates.~
~henry5~,18946,3,4,~The FRENCH KING&#8217;s palace.~
~henry5~,18947,3,5,~The same.~
~henry5~,18948,3,6,~The English camp in Picardy.~
~henry5~,18949,3,7,~The French camp, near Agincourt:~
~henry5~,18950,4,0,~Prologue.~
~henry5~,18951,4,1,~The English camp at Agincourt.~
~henry5~,18952,4,2,~The French camp.~
~henry5~,18953,4,3,~The English camp.~
~henry5~,18954,4,4,~The field of battle.~
~henry5~,18955,4,5,~Another part of the field.~
~henry5~,18956,4,6,~Another part of the field.~
~henry5~,18957,4,7,~Another part of the field.~
~henry5~,18958,4,8,~Before KING HENRY&#8217;S pavilion.~
~henry5~,18959,5,0,~Prologue.~
~henry5~,18960,5,1,~France. The English camp.~
~henry5~,18961,5,2,~France. A royal palace.~
~henry6p1~,18962,1,1,~Westminster Abbey.~
~henry6p1~,18963,1,2,~France. Before Orleans.~
~henry6p1~,18964,1,3,~London. Before the Tower.~
~henry6p1~,18965,1,4,~Orleans.~
~henry6p1~,18966,1,5,~The same.~
~henry6p1~,18967,1,6,~The same.~
~henry6p1~,18968,2,1,~Before Orleans.~
~henry6p1~,18969,2,2,~Orleans. Within the town.~
~henry6p1~,18970,2,3,~Auvergne. The COUNTESS&#8217;s castle.~
~henry6p1~,18971,2,4,~London. The Temple-garden.~
~henry6p1~,18972,2,5,~The Tower of London.~
~henry6p1~,18973,3,1,~London. The Parliament-house.~
~henry6p1~,18974,3,2,~France. Before Rouen.~
~henry6p1~,18975,3,3,~The plains near Rouen.~
~henry6p1~,18976,3,4,~Paris. The palace.~
~henry6p1~,18977,4,1,~Paris. A hall of state.~
~henry6p1~,18978,4,2,~Before Bourdeaux.~
~henry6p1~,18979,4,3,~Plains in Gascony.~
~henry6p1~,18980,4,4,~Other plains in Gascony.~
~henry6p1~,18981,4,5,~The English camp near Bourdeaux.~
~henry6p1~,18982,4,6,~A field of battle.~
~henry6p1~,18983,4,7,~Another part of the field.~
~henry6p1~,18984,5,1,~London. The palace.~
~henry6p1~,18985,5,2,~France. Plains in Anjou.~
~henry6p1~,18986,5,3,~Before Angiers.~
~henry6p1~,18987,5,4,~Camp of the YORK in Anjou.~
~henry6p1~,18988,5,5,~London. The palace.~
~henry6p2~,18989,1,1,~London. The palace.~
~henry6p2~,18990,1,2,~GLOUCESTER&#8217;S house.~
~henry6p2~,18991,1,3,~The palace.~
~henry6p2~,18992,1,4,~GLOUCESTER&#8217;s garden.~
~henry6p2~,18993,2,1,~Saint Alban&#8217;s.~
~henry6p2~,18994,2,2,~London. YORK&#8217;S garden.~
~henry6p2~,18995,2,3,~A hall of justice.~
~henry6p2~,18996,2,4,~A street.~
~henry6p2~,18997,3,1,~The Abbey at Bury St. Edmund&#8217;s.~
~henry6p2~,18998,3,2,~Bury St. Edmund&#8217;s. A room of state.~
~henry6p2~,18999,3,3,~A bedchamber.~
~henry6p2~,19000,4,1,~The coast of Kent.~
~henry6p2~,19001,4,2,~Blackheath.~
~henry6p2~,19002,4,3,~Another part of Blackheath.~
~henry6p2~,19003,4,4,~London. The palace.~
~henry6p2~,19004,4,5,~London. The Tower.~
~henry6p2~,19005,4,6,~London. Cannon Street.~
~henry6p2~,19006,4,7,~London. Smithfield.~
~henry6p2~,19007,4,8,~Southwark.~
~henry6p2~,19008,4,9,~Kenilworth Castle.~
~henry6p2~,19009,4,10,~Kent. IDEN&#8217;s garden.
~
~henry6p2~,19010,5,1,~Fields between Dartford and Blackheath.~
~henry6p2~,19011,5,2,~Saint Alban&#8217;s.~
~henry6p2~,19012,5,3,~Fields near St. Alban&#8217;s.~
~henry6p3~,19013,1,1,~London. The Parliament-house.~
~henry6p3~,19014,1,2,~Sandal Castle.~
~henry6p3~,19015,1,3,~Field of battle betwixt Sandal Castle and Wakefield.~
~henry6p3~,19016,1,4,~Another part of the field.~
~henry6p3~,19017,2,1,~A plain near Mortimer&#8217;s Cross in Herefordshire.~
~henry6p3~,19018,2,2,~Before York.~
~henry6p3~,19019,2,3,~A field of battle between Towton and Saxton, in~
~henry6p3~,19020,2,4,~Another part of the field.~
~henry6p3~,19021,2,5,~Another part of the field.~
~henry6p3~,19022,2,6,~Another part of the field.~
~henry6p3~,19023,3,1,~A forest in the north of England.~
~henry6p3~,19024,3,2,~London. The palace.~
~henry6p3~,19025,3,3,~France. KING LEWIS XI&#8217;s palace.~
~henry6p3~,19026,4,1,~London. The palace.~
~henry6p3~,19027,4,2,~A plain in Warwickshire.~
~henry6p3~,19028,4,3,~Edward&#8217;s camp, near Warwick.~
~henry6p3~,19029,4,4,~London. The palace.~
~henry6p3~,19030,4,5,~A park near Middleham Castle In Yorkshire.~
~henry6p3~,19031,4,6,~London. The Tower.~
~henry6p3~,19032,4,7,~Before York.~
~henry6p3~,19033,4,8,~London. The palace.~
~henry6p3~,19034,5,1,~Coventry.~
~henry6p3~,19035,5,2,~A field of battle near Barnet.~
~henry6p3~,19036,5,3,~Another part of the field.~
~henry6p3~,19037,5,4,~Plains near Tewksbury.~
~henry6p3~,19038,5,5,~Another part of the field.~
~henry6p3~,19039,5,6,~London. The Tower.~
~henry6p3~,19040,5,7,~London. The palace.~
~henry8~,19041,1,0,~Prologue.~
~henry8~,19042,1,1,~London. An ante-chamber in the palace.~
~henry8~,19043,1,2,~The same. The council-chamber.~
~henry8~,19044,1,3,~An ante-chamber in the palace.~
~henry8~,19045,1,4,~A Hall in York Place.~
~henry8~,19046,2,1,~Westminster. A street.~
~henry8~,19047,2,2,~An ante-chamber in the palace.~
~henry8~,19048,2,3,~An ante-chamber of the QUEEN&#8217;S apartments.~
~henry8~,19049,2,4,~A hall in Black-Friars.~
~henry8~,19050,3,1,~London. QUEEN KATHARINE&#8217;s apartments.~
~henry8~,19051,3,2,~Ante-chamber to KING HENRY VIII&#8217;s apartment.~
~henry8~,19052,4,1,~A street in Westminster.~
~henry8~,19053,4,2,~Kimbolton.~
~henry8~,19054,5,1,~London. A gallery in the palace.~
~henry8~,19055,5,2,~Before the council-chamber. Pursuivants, Pages, &c.~
~henry8~,19056,5,3,~The Council-Chamber.~
~henry8~,19057,5,4,~The palace yard.~
~henry8~,19058,5,5,~The palace.~
~juliuscaesar~,19059,1,1,~Rome. A street.~
~juliuscaesar~,19060,1,2,~A public place.~
~juliuscaesar~,19061,1,3,~The same. A street.~
~juliuscaesar~,19062,2,1,~Rome. BRUTUS&#8217;s orchard.~
~juliuscaesar~,19063,2,2,~CAESAR&#8217;s house.~
~juliuscaesar~,19064,2,3,~A street near the Capitol.~
~juliuscaesar~,19065,2,4,~Another part of the same street, before the house of BRUTUS.~
~juliuscaesar~,19066,3,1,~Rome. Before the Capitol; the Senate sitting above.~
~juliuscaesar~,19067,3,2,~The Forum.~
~juliuscaesar~,19068,3,3,~A street.~
~juliuscaesar~,19069,4,1,~A house in Rome.~
~juliuscaesar~,19070,4,2,~Camp near Sardis. Before BRUTUS&#8217;s tent.~
~juliuscaesar~,19071,4,3,~Brutus&#8217;s tent.~
~juliuscaesar~,19072,5,1,~The plains of Philippi.~
~juliuscaesar~,19073,5,2,~The same. The field of battle.~
~juliuscaesar~,19074,5,3,~Another part of the field.~
~juliuscaesar~,19075,5,4,~Another part of the field.~
~juliuscaesar~,19076,5,5,~Another part of the field.~
~kingjohn~,19077,1,1,~KING JOHN&#8217;S palace.~
~kingjohn~,19078,2,1,~France. Before Angiers.~
~kingjohn~,19079,3,1,~The French King&#8217;s pavilion.~
~kingjohn~,19080,3,2,~The same. Plains near Angiers.~
~kingjohn~,19081,3,3,~The same.~
~kingjohn~,19082,3,4,~The same. KING PHILIP&#8217;S tent.~
~kingjohn~,19083,4,1,~A room in a castle.~
~kingjohn~,19084,4,2,~KING JOHN&#8217;S palace.~
~kingjohn~,19085,4,3,~Before the castle.~
~kingjohn~,19086,5,1,~KING JOHN&#8217;S palace.~
~kingjohn~,19087,5,2,~LEWIS&#8217;s camp at St. Edmundsbury.~
~kingjohn~,19088,5,3,~The field of battle.~
~kingjohn~,19089,5,4,~Another part of the field.~
~kingjohn~,19090,5,5,~The French camp.~
